fund_id,category,expense_ratio,true_alpha_ann,true_group,start_date,end_date,n_months,beta_true,s_true,h_true,mom_true
27,Growth & Income,0.017817794313193056,-0.020361734498269574,unskilled,1984-07-01,2001-07-01,205,1.0292028019541783,0.20495852375374543,-0.16122192842554997,-0.12898471750201898
28,Aggressive Growth,0.012141983282671067,0.0,zero_alpha,1979-11-01,2006-06-01,320,0.9970947728748821,0.009021446909054903,-0.20758009073396178,0.13599053634849095
29,Growth & Income,0.01910091246297045,0.0,zero_alpha,1975-07-01,2006-03-01,369,0.9587396580877231,0.8342023728674999,0.020634381451916865,-0.1897637801073771
30,Growth & Income,0.010789707973268652,0.0,zero_alpha,1979-10-01,1991-06-01,141,0.9706630538415694,-0.18233331136632894,0.46153984600527376,0.17681114229867018
31,Growth,0.021709356884527607,0.0,zero_alpha,1983-10-01,2006-04-01,271,1.0177883425090473,0.02381598069138527,0.13980599822331463,0.011395007052918068
32,Aggressive Growth,0.024287440865280514,0.0,zero_alpha,1989-10-01,1999-10-01,121,0.9058771347731653,0.04356447385576484,0.017243859841170363,-0.32032976130659957
33,Aggressive Growth,0.010894733088977905,0.0,zero_alpha,1993-05-01,2001-05-01,97,0.913625481188295,0.6801233535811344,0.061770307276193655,0.04674943808948562
34,Growth,0.020693771055408625,0.0,zero_alpha,1982-10-01,1997-03-01,174,1.206104302050733,-0.1600336624943748,-0.3602231722971195,-0.0409288552136404
35,Growth,0.021268516077154544,0.0,zero_alpha,1976-06-01,2005-04-01,347,1.3565820153269574,0.27648057449652746,-0.2344680741505113,-0.06352739377347044
36,Aggressive Growth,0.01481526749069758,0.0,zero_alpha,1978-04-01,2001-11-01,284,0.7693449577198934,0.23209851626163497,-0.5121857730094278,-0.09065886421843275
37,Growth & Income,0.0067549462330608835,0.0,zero_alpha,1985-05-01,2003-07-01,219,0.7610793193435912,0.25340057616863704,0.3359747789153245,0.0009176313710190925
38,Growth,0.020723637801985682,0.0,zero_alpha,1979-02-01,1991-08-01,151,0.8064270758287775,0.47908579065273504,0.29547720583114967,-0.05277830217507119
39,Growth & Income,0.013149564764650398,0.0,zero_alpha,1997-09-01,2006-06-01,106,0.9345067377442167,0.47395733993677214,0.06856370524298197,-0.2585035364782578
40,Growth & Income,0.009161425510035043,0.0,zero_alpha,1978-06-01,1990-08-01,147,1.0843670766555884,0.057260793369970656,0.017023020616840946,0.21081018300158072
41,Growth & Income,0.01753300465121559,0.0,zero_alpha,1985-08-01,1994-08-01,109,1.0386879413072407,0.21850436237349774,-0.3203180004995161,-0.016653648394270772
42,Growth,0.013738762113615285,0.0,zero_alpha,1981-12-01,1991-11-01,120,0.9758046705170702,-0.29602550803803596,-0.053859992050138215,-0.08979025238173946
43,Growth,0.006751448973603642,0.0,zero_alpha,1980-06-01,2003-12-01,283,1.0293403320436847,0.19477325213048227,0.3484783756807785,-0.14926355238179967
44,Aggressive Growth,0.024673492581334142,-0.027897357622912903,unskilled,1990-12-01,1999-06-01,103,0.8461870765057445,-0.028497356957979753,0.016283199639142862,0.13560981011793818
45,Growth,0.009893237404882908,0.0,zero_alpha,1998-09-01,2004-11-01,75,0.9133815842371071,0.1234043935098709,-0.12292929324237926,-0.17476479536447875
46,Growth,0.015219301109592912,-0.030001128866382815,unskilled,1984-10-01,2004-05-01,236,0.9469858177436304,-0.25134296620417373,-0.3616141320007227,0.04009809527869501
47,Aggressive Growth,0.018345765234620476,0.0,zero_alpha,1979-10-01,1992-06-01,153,0.7123675491692221,0.27121807167976886,0.266061145546161,-0.06754735028103719
48,Growth,0.007301787287973831,0.0,zero_alpha,1978-01-01,1995-03-01,207,0.7758034692916106,-0.2541421738939019,-0.024016760205531264,-0.058812949084349836
49,Growth,0.019788201877215177,0.0,zero_alpha,1995-09-01,2004-05-01,105,0.7817650908083511,0.2070711516978966,-0.3613467706725659,-0.14553392964638498
50,Growth & Income,0.01796577659678251,-0.033968705861122855,unskilled,1985-06-01,1996-01-01,128,1.0646162335525662,-0.13662639825563735,-0.19485313641430843,-0.07304791487824902
51,Growth,0.014875057946136035,0.0,zero_alpha,1976-06-01,1993-04-01,203,0.9868032422858624,-0.042410258783971144,-0.2655076034716261,0.021321858726028695
52,Growth & Income,0.01556659983337362,0.0,zero_alpha,1981-12-01,2005-07-01,284,1.0416591800110915,0.4586830256362907,-0.03634870514239439,0.05529683395234895
53,Growth,0.02409590054880655,0.0,zero_alpha,1985-04-01,2001-05-01,194,0.6740517515296303,0.3169794864784055,0.03146779392256372,-0.09783887219244676
54,Growth,0.02321795674537928,0.0,zero_alpha,1975-04-01,1994-11-01,236,0.7274649970922595,0.4573007844176358,-0.11064341285570493,0.006359839634387906
55,Growth,0.007239666477425745,0.0,zero_alpha,1985-03-01,2004-03-01,229,1.0494823160384743,0.5599317831253225,0.14540931929737633,0.15326816464556325
56,Growth,0.012375041061338011,-0.03644066926866826,unskilled,1987-01-01,1999-03-01,147,0.5331995537500924,-0.023209676784941208,0.005760448094488337,-0.22939428354236088
57,Growth,0.015335428635392372,0.0,zero_alpha,1987-01-01,1999-06-01,150,1.1336944036399705,0.5447429156102179,0.202462477054426,0.019059653961221085
58,Growth & Income,0.023399516918035632,-0.0306814139782174,unskilled,1988-06-01,2004-11-01,198,0.6765024284715815,-0.19637641404472536,-0.08143881561614377,-0.12261759181032598
59,Growth & Income,0.021331266589080917,0.0,zero_alpha,1988-01-01,1993-10-01,70,1.0765017337887468,0.3565250836362258,0.5990651184022291,-0.13790262581747972
60,Growth,0.012729654059888282,0.0,zero_alpha,1978-12-01,2002-05-01,282,0.8167123062864555,0.04666557135000714,-0.12289774469479152,0.0591517269497151
61,Growth,0.02272420811021291,0.0,zero_alpha,1981-06-01,2002-12-01,259,1.1073355572757373,-0.06257503565982908,-0.1906659983511744,-0.061787720300133894
62,Aggressive Growth,0.012563155912642468,0.0,zero_alpha,1978-09-01,1991-11-01,159,1.431224137087474,0.32361746682611064,-0.21526011001915155,-0.162520468935265
63,Growth,0.01042385871608619,0.0,zero_alpha,1977-07-01,1992-07-01,181,0.6090233554818312,0.4062378812923033,-0.05218814531086107,0.21864247881049811
64,Growth,0.01719785253115199,0.0,zero_alpha,1990-05-01,2004-02-01,166,1.0543065721790972,0.39881709666163623,-0.3539072181731568,0.15801342714977437
65,Growth,0.012118035096296068,0.0,zero_alpha,1977-01-01,1999-07-01,271,0.678775592960939,0.22371497222369802,0.04891256876556214,-0.26984589345387533
66,Growth,0.017448151198451712,0.0,zero_alpha,1978-04-01,2003-09-01,306,1.0140153383326256,0.2029893253323098,-0.3910607539129614,-0.2011642192003102
67,Growth,0.01319368150090449,0.0,zero_alpha,1981-07-01,1989-05-01,95,0.9189841754672159,0.30171664642497564,0.022334184811446223,0.10901856069780225
68,Growth,0.020915382792537643,0.0,zero_alpha,1978-09-01,1994-10-01,194,0.9694673483692764,0.24594101887929776,-0.28025034881927063,-0.022731074955620437
69,Aggressive Growth,0.024086219467478267,-0.036122406078456196,unskilled,1990-12-01,1996-03-01,64,0.8132470585507644,0.30533895989649507,-0.08625868147601855,0.24508619665324358
70,Growth,0.010406183577428578,-0.029801816969915032,unskilled,1986-12-01,2004-01-01,206,1.067081166424475,0.22099986527767856,0.11090807982647188,0.11245045978115153
71,Growth,0.01520020168488563,0.0,zero_alpha,1984-01-01,1995-08-01,140,0.7327463243044428,0.38069595612659096,0.4508075367752707,0.06491982857809972
72,Growth,0.019488648706051773,-0.02819933457312073,unskilled,1977-06-01,1991-06-01,169,1.136245589434811,-0.23680195163760695,-0.2256001041562314,-0.13327940377381559
73,Growth,0.008170381904142994,0.0,zero_alpha,1978-08-01,1995-11-01,208,0.8886124540084726,0.13718163122840346,-0.040063489885278365,0.09371604422967074
74,Growth & Income,0.02091812296154737,0.0,zero_alpha,1978-01-01,1991-09-01,165,0.7395963983895365,-0.17596162346139652,-0.15475173495510847,-0.17136459321257003
75,Aggressive Growth,0.016659439232908545,-0.02281543235839343,unskilled,1989-06-01,2005-01-01,188,1.1892405235011048,0.23917550440122118,-0.18397406451215914,0.2157866800115103
76,Growth & Income,0.00799481047824163,0.0,zero_alpha,1977-01-01,2002-08-01,308,0.939898602078627,0.5804825439634245,-0.1529946659939089,0.08332078835273629
77,Growth,0.02236459173608175,0.0,zero_alpha,1976-12-01,2003-10-01,323,1.2361453955663038,0.0514788045132579,0.15481329512738784,-0.10372458651363888
78,Growth,0.013534025190516188,-0.03256973728827437,unskilled,1976-12-01,1981-12-01,61,1.1332034193970013,0.20181300757430382,-0.10761117284607594,0.1407016142198472
79,Growth,0.008532386918492976,0.0,zero_alpha,1982-07-01,1997-08-01,182,0.8302781442820347,0.35912167873040973,0.43986253965417105,0.3562287333704503
80,Growth,0.008907927286773008,0.0,zero_alpha,1978-10-01,2006-08-01,335,0.9372515298594877,-0.3469307329416311,0.07319585117894681,-0.012642564971417618
81,Growth,0.0207101279953265,0.0,zero_alpha,1980-03-01,1999-06-01,232,0.9681556909495361,0.03947237946395307,-0.21200213223481504,0.10256197845369389
82,Growth,0.023714323211699567,0.0,zero_alpha,1989-01-01,1999-06-01,126,1.178945479997966,0.26112891481821254,-0.08334103642901546,-0.044774397953650236
83,Growth,0.012564998445082987,0.0,zero_alpha,1977-01-01,1997-12-01,252,1.0156276570050673,-0.5542486814143187,-0.17036939800799789,0.032802832642751786
84,Growth,0.006576561506144656,0.0,zero_alpha,1978-04-01,1987-02-01,107,0.9764438931644689,-0.07420212326874281,0.15001373058934275,-0.20608518400471712
85,Growth,0.007016461589077148,0.0,zero_alpha,1994-05-01,1999-11-01,67,0.9200180619352538,0.44521449334532237,-0.3377559313130506,0.019920572974120233
86,Growth,0.01808957018387702,-0.03367228086177938,unskilled,1975-08-01,1997-08-01,265,0.9424164446218041,0.4207492251126812,-0.27819027608716207,0.02653659947459171
87,Growth,0.012415034211793512,0.0,zero_alpha,1980-11-01,1999-09-01,227,1.1456888128517486,0.2635795568425251,-0.12830922374982828,0.28984966652671224
88,Growth & Income,0.013522629946915873,0.0,zero_alpha,1977-02-01,2002-06-01,305,0.9505558026196211,0.39054940998579435,0.12658935862766507,-0.24925046690550243
89,Growth,0.011740947562968777,0.0,zero_alpha,1975-04-01,1989-07-01,172,0.8907504093052737,0.22377605860536592,0.23661205496455448,-0.022132518866166902
90,Growth,0.014310771319791561,0.0,zero_alpha,1977-02-01,2005-02-01,337,0.865323925157947,0.3088487268605786,0.26610843815456864,0.2132175826746553
91,Growth,0.017870989057601296,-0.04201761146033257,unskilled,1990-03-01,2006-06-01,196,0.8669352269245757,0.09108657278984655,0.09596030398950607,-0.016265724369813443
92,Growth,0.015822783278095717,0.0,zero_alpha,1975-06-01,2000-04-01,299,0.7396856005935852,0.1989531707305232,-0.026577907271604008,-0.005701229947749648
93,Aggressive Growth,0.008284828483029551,0.0,zero_alpha,1994-12-01,2002-07-01,92,0.8374437037510281,0.01190740339604443,0.14892516246279852,-0.10498885373232612
94,Growth,0.01482577303887608,0.0,zero_alpha,1988-03-01,1995-09-01,91,1.1747630413475485,0.48587083604557835,-0.23890012348634213,-0.11989080703941364
95,Growth & Income,0.014212261182126831,0.0,zero_alpha,1979-04-01,2005-05-01,314,0.9190101109148755,0.5503898523755505,-0.37893144440324533,-0.2538780648749728
96,Growth & Income,0.01591474496107282,0.0,zero_alpha,1975-06-01,2002-12-01,331,1.0556617502834147,0.5149782001742683,0.0773275155372978,-0.07438228714662314
97,Growth,0.007213400620807678,0.0,zero_alpha,1976-05-01,2006-10-01,366,0.5781865223148748,0.06797280958053444,-0.21113568342977002,-0.1284032582668185
98,Growth & Income,0.008070542460854705,-0.03016734296381385,unskilled,1975-03-01,1988-11-01,165,1.0352466963448819,-0.06844350984127184,-0.023061346433096166,0.03770582504856103
99,Aggressive Growth,0.015604883562158937,-0.02881233094551152,unskilled,1999-01-01,2004-07-01,67,0.9257970943446329,0.4892434151875408,0.013925403174562903,-0.09815023036355973
100,Growth & Income,0.010508700850992668,0.0,zero_alpha,1975-05-01,2006-10-01,378,0.8777839965664236,0.30597680064785315,0.03962391183565931,-0.051938647757275996
101,Growth,0.01758063377422694,-0.03906382941946183,unskilled,1978-08-01,1999-10-01,255,0.9771439936131697,0.25214608538091066,0.1775583077050104,-0.047830808958648996
102,Growth & Income,0.012455027653583205,0.0,zero_alpha,1975-02-01,1986-09-01,140,0.8756262119281958,0.011591978763713595,0.1564150376583463,0.012775222656444173
103,Growth,0.009414694953308714,-0.03449647799269576,unskilled,1978-12-01,2004-07-01,308,0.6314187620167466,0.2764159531591912,0.029000013433538044,-0.05927833846072614
104,Growth,0.018127895766546567,-0.024962590693431416,unskilled,1975-03-01,2004-07-01,353,1.0883371911757906,-0.10131951491548372,-0.09840305609388111,-0.13926791349056983
105,Growth & Income,0.01287815339285029,0.0,zero_alpha,1986-10-01,1999-05-01,152,0.986452634202229,0.32851558901975797,0.011552417735264183,0.032864966592175755
106,Growth,0.008152249410194493,0.0,zero_alpha,1979-10-01,2005-07-01,310,0.9029086317878222,0.5147216749015526,-0.1292420833349843,0.18012248243969164
107,Growth,0.021176179585405804,0.0,zero_alpha,1976-07-01,2002-09-01,315,0.8050721941891343,0.5777613859769881,-0.04928578440123419,0.03926992936861616
108,Growth,0.01363517423881229,0.0,zero_alpha,1978-03-01,1996-09-01,223,0.7295213725839297,0.347131013527454,0.5136346847160828,-0.0714730657357933
109,Growth,0.023301406794452872,-0.029045468386033224,unskilled,1977-03-01,1999-03-01,265,0.9835839060602086,-0.1755053874052804,0.026437940176708093,0.001528039235956253
110,Growth,0.008868018570308049,-0.02201634554154107,unskilled,1979-06-01,1991-08-01,147,1.1920161440338037,0.2193325327365054,0.0800490034075097,-0.28759491555348077
111,Growth,0.022527004692129465,0.0,zero_alpha,1975-03-01,2005-03-01,361,0.9804749715111557,0.7049204360144283,-0.15109612980607243,-0.0009104124308297115
112,Growth,0.021318199413981383,-0.028904144415123033,unskilled,1975-02-01,2006-08-01,379,0.742585759086076,-0.04715289761057104,0.1940146832859736,-0.04005315536357093
113,Aggressive Growth,0.007078316481764617,0.0,zero_alpha,1975-05-01,2006-10-01,378,0.9837675090557604,0.15520460677244577,0.14205448453268488,-0.1200190537009768
114,Growth,0.015633626313006348,0.0,zero_alpha,1977-03-01,2002-01-01,299,0.9419985556629907,0.5233810879502443,0.14347051093101698,-0.09281475284979519
115,Growth & Income,0.018073657202928937,0.0,zero_alpha,1995-04-01,2001-04-01,73,1.0796065439111344,0.3242834805183964,0.03297824935069266,-0.04153517523094702
116,Growth,0.014909643894545098,0.0,zero_alpha,1989-01-01,2003-11-01,179,1.0410099766117589,0.7900390811212762,0.19683801915335414,0.1688687414009736
117,Aggressive Growth,0.012805261683718715,0.0,zero_alpha,1986-06-01,2003-05-01,204,0.5021266198835115,-0.01321734580714709,0.24433703932694667,0.1838090625170139
118,Aggressive Growth,0.023876842547274076,0.0,zero_alpha,1975-08-01,2006-06-01,371,1.0317863306642685,-0.07743894643520546,0.04661978386985902,-0.1192187742336716
119,Growth & Income,0.01901641719484439,0.0,zero_alpha,1978-11-01,1998-07-01,237,0.7994780885743874,0.47603135895879345,-0.03292247180006456,-0.057711605986509026
120,Growth,0.02431739755128982,-0.03202560933360035,unskilled,1986-09-01,2006-02-01,234,0.736740688782695,-0.12896965706788396,0.16891419802295216,-0.05388849359328671
121,Growth,0.02192460621706383,0.0,zero_alpha,1979-10-01,1988-08-01,107,0.9217289884439654,0.12080800279561593,-0.19082506131194876,0.14143182733251866
122,Growth & Income,0.021342627964323117,-0.03639076183464375,unskilled,1977-08-01,2003-12-01,317,1.0116456663545017,0.15358836378510587,-0.15359205612306534,0.04182598289474253
123,Aggressive Growth,0.019512645806000192,0.0,zero_alpha,1983-02-01,1997-02-01,169,0.7038898084569764,0.4289973683464805,-0.020660068576980266,0.033918479396156255
124,Growth,0.017921584842905337,0.0,zero_alpha,1993-05-01,2000-09-01,89,1.0556864625586326,0.3235669920063117,-0.3582714136876291,0.10043939201317845
125,Growth,0.022737241822247237,0.0,zero_alpha,1975-03-01,2006-10-01,380,1.06450082712974,0.2842662285442157,0.15551905471268487,-0.06946201126163973
126,Aggressive Growth,0.017268195453261265,-0.027607748493463636,unskilled,1992-08-01,2002-08-01,121,0.9570464294449246,0.06939228052458332,-0.20258277749316467,0.2245829861531086
127,Growth,0.0065057680185038325,0.0,zero_alpha,1999-07-01,2004-11-01,65,0.8198564554659427,0.4737510047704858,-0.10429820430035137,0.01973830138696977
128,Aggressive Growth,0.01665127037986603,0.0,zero_alpha,1984-10-01,1991-10-01,85,0.8030932993716062,1.176456010681816,-0.05265591913595422,-0.10838686692878698
129,Growth & Income,0.007056703031735494,-0.03466950119186778,unskilled,1987-12-01,2005-02-01,207,1.1038898197370342,0.34282052473072894,-0.002142635685889965,-0.014446036569675993
130,Growth,0.023986021402448533,-0.028747036060876495,unskilled,1979-02-01,1986-10-01,93,0.7233165970256142,0.19491805188670913,-0.07873065528460838,0.20478924863118078
131,Growth,0.017933379522025724,0.0,zero_alpha,1978-12-01,2006-08-01,333,1.1096705691228768,-0.15446574274804012,-0.023474209446069767,-0.04377132039756583
132,Growth,0.016112925668267136,0.0,zero_alpha,1977-05-01,1996-02-01,226,0.9252201261304345,0.01062963767071165,-0.021925526478082817,0.16243366985672472
133,Growth,0.008956422654661756,0.0,zero_alpha,1990-08-01,2004-04-01,165,0.9356248250535714,0.116572441513174,-0.09940619152542525,-0.07380186891572824
134,Growth,0.015315340997495607,-0.03325988689103443,unskilled,1985-07-01,1990-07-01,61,0.6937868441880013,0.03634993993321686,-0.16463889152775307,-0.09484955451659594
135,Aggressive Growth,0.011850620076586844,-0.032953255287525796,unskilled,1988-08-01,2006-06-01,215,0.927992505480712,0.16598054136828796,0.20629478487112035,0.11893961158914379
136,Growth,0.01850772336017282,0.0,zero_alpha,1977-12-01,1986-12-01,109,1.0420378274017064,0.614504019201822,-0.4308811404533406,-0.11109588409686112
137,Growth & Income,0.017088195949187143,-0.033657440860486276,unskilled,1975-04-01,2006-08-01,377,0.7495384868222028,0.4817917293423085,-0.051143031801896555,0.14338103752425432
138,Aggressive Growth,0.014986141800141174,-0.027807553981318275,unskilled,1992-05-01,2005-02-01,154,1.0247953800877767,0.13029182088293645,-0.10377989437684311,0.07274389985350241
139,Aggressive Growth,0.010054820028887017,0.0,zero_alpha,1975-09-01,1993-06-01,214,0.9633518380518533,-0.13206998616646512,0.07375829734529733,-0.11103909017013879
140,Growth,0.015514862608022432,0.0,zero_alpha,1982-01-01,1987-06-01,66,0.8534366579251539,0.5043419107256033,-0.30085855930380173,0.009283588400849894
141,Growth,0.014233937714904495,0.0,zero_alpha,1976-12-01,1985-05-01,102,1.0782009629736957,0.1577364316346589,-0.10995706824872083,-0.0623161435839306
142,Aggressive Growth,0.022025317549246515,-0.028872048030163317,unskilled,1981-11-01,1992-05-01,127,0.6196614846532165,-0.2616251064005888,-0.03047194679795119,0.07234648350035894
143,Growth,0.0228867468272557,0.0,zero_alpha,1985-01-01,1991-04-01,76,1.0020021123115563,0.3481075296232591,0.20401472207409188,0.30316973674331293
144,Growth,0.020184983082168186,0.0,zero_alpha,1979-08-01,2004-02-01,295,1.1929152737109938,0.42642167105836637,0.056436993359084774,-0.035605690433113346
145,Growth,0.01139279913224622,0.0,zero_alpha,1975-05-01,2005-11-01,367,1.1659914708650991,-0.43647710123366723,-0.24669764217377238,0.10006644107877605
146,Growth,0.0057617902083630735,-0.03381526923282536,unskilled,1975-01-01,2006-08-01,380,1.0084710080807784,-0.03613866053322584,-0.10749534374413193,0.023666096250127392
147,Aggressive Growth,0.023506719184877574,-0.02785240478987963,unskilled,1978-05-01,1990-06-01,146,0.9047478835803731,0.14238649717307153,0.16721027053213822,0.023608655459477036
148,Growth,0.024840245033173385,0.0,zero_alpha,1980-05-01,2006-08-01,316,0.8546296165178553,0.35362772782715435,-0.2501549731846135,-0.004780768109728571
149,Growth,0.007540415246450161,0.0,zero_alpha,1987-11-01,2006-05-01,223,0.9045611309141537,0.04106335384395721,-0.025728853674474167,-0.1086126169527331
150,Growth,0.018712320475664047,0.0,zero_alpha,1980-09-01,1986-10-01,74,1.031571087187686,-0.0380354754934841,-0.011824090505255116,0.07027099239236825
151,Growth,0.013502930709794407,0.0,zero_alpha,1979-10-01,1987-02-01,89,0.8289134291810876,0.3517923124200706,-0.0871566119841529,-0.02331126248790828
152,Growth,0.00797040809678159,0.0,zero_alpha,1975-08-01,1995-05-01,238,1.063613572707557,0.05291940667146024,0.529150356559783,-0.1157200125608089
153,Growth & Income,0.02496202621931134,-0.03322638922971055,unskilled,1990-01-01,2006-05-01,197,1.2699740777004984,0.3055136626371743,-0.09254629188950979,0.17212598933724477
154,Growth & Income,0.023664577089235486,0.0,zero_alpha,1994-01-01,1999-02-01,62,0.9407175147308907,-0.10787891374364764,0.07995303187355952,0.03485144340535144
155,Growth & Income,0.024652177525654274,0.0,zero_alpha,1976-06-01,2006-07-01,362,0.7483407795075041,-0.1680832548090996,-0.16326022404385687,-0.01421484360148589
156,Growth,0.007877925087402902,-0.03990797199726971,unskilled,1977-02-01,2001-10-01,297,0.748288288052538,0.35881728939259927,0.09554959839988086,0.22100849221194468
157,Growth,0.01483849050645989,-0.037586920564948036,unskilled,1983-08-01,2002-02-01,223,1.0664848327567362,0.23312997757930348,0.16415751937038703,-0.25541223032994964
158,Growth,0.022915483266427283,0.0,zero_alpha,1975-01-01,2006-08-01,380,0.9410380731559335,0.4006139333090518,-0.1275928073492196,0.21092312055936324
159,Aggressive Growth,0.018503168915580816,0.0,zero_alpha,1975-07-01,2006-09-01,375,1.0815246344096079,0.036851749769639564,-0.020940363043706584,-0.11202819237043259
160,Aggressive Growth,0.013692036065831675,-0.02399110554339542,unskilled,1975-06-01,2006-09-01,376,0.8699548626260976,-0.02877632561993626,-0.18905595397817468,0.05172988091232797
161,Aggressive Growth,0.015333884817591556,0.0,zero_alpha,1981-08-01,1993-07-01,144,1.0745935321309747,0.5101797218852276,-0.23888076240997835,-0.06820956311810666
162,Growth,0.005772032094021125,0.0,zero_alpha,1977-04-01,2006-01-01,346,0.9262551239825412,-0.21073969099861753,0.1973590865000413,-0.11845015606786356
163,Growth,0.017230343536285844,0.0,zero_alpha,1983-09-01,2002-03-01,223,0.8401243917014076,0.4828651772951562,-0.12080018917672958,0.21708297889526518
164,Growth & Income,0.022194310334005242,-0.030839193384666397,unskilled,1978-04-01,2002-10-01,295,0.8898502281796423,0.5001261768705958,-0.49272246570161404,0.2984324851092927
165,Growth,0.005055872530825638,0.0,zero_alpha,1975-09-01,2003-11-01,339,0.7704418466865145,0.38502237856651883,0.3430712312987246,-0.013183847597661783
166,Aggressive Growth,0.00819929355295448,0.0,zero_alpha,1975-07-01,1984-11-01,113,1.2484039337872417,-0.0019518792526120043,-0.17041906461252126,0.07032120532914424
167,Aggressive Growth,0.015359802440106433,0.0,zero_alpha,1989-01-01,2006-01-01,205,0.935542727966227,-0.03413095918133982,-0.059274608749606154,0.028548687749375
168,Growth,0.016219286520417316,0.0,zero_alpha,1981-08-01,1989-12-01,101,1.0466771133023294,0.11748605675045012,0.318181301098863,0.27957602560292827
